id,tag,title,content
0115181c415c4cdcafa51db1bfc2ea99,"[증상 및 진단 문의], 허리 협착증, 협착증 치료, 수술 여부, 협착증 치료 방법",협착증도 치료 가능한가요,안녕하세요\n허리 협착증도 치료 가능한가요\n저희 어머니가 협착증으로 오래도록 고생하고 계신데 치료를 어떻게 해야 하는지 해서\n저희 어머님이 가신 병원도 수술여부를 저희 보고 결정하라고 하시는데..\n연세도 있으시고 주위에 수술 하신분들도 여전히 아프시다고 하셔서 수술을 해도 될런지 궁금합니다.\n혹 치료를 진행 한다면 어떤 치료를 하는지도 궁금 하구요\n답변 부탁 드립니다.
02edb62d4bf74c2b87e1e1c299119ddd,"[증상 및 진단 문의], 허리 통증, 허리 아래쪽 통증, 걸을 때 통증","조금만 걸어도 아파해요 ㅡ,.ㅡ",안녕하세요\n중학교 2학년 여자 아이를 둔 엄마입니다.\n아이가 조금만 걸어도 허리 아래쪽이 아파다고 해요\n같이 다니고 싶은데 조금만 걸어도 아프다고 하니 같이 다닐수도 없어요\n뭐가 문제 인지 모르겠어요
0826a9427c674671a65cf3640aab28a1,"[생활관리 및 기타 문의], 자세교정, 교정 치료",자세교정 같은것도 되나요?,저 이병원에서도 자세교정 해주시나요?\n최근 이사를 왔는데 전에 살던 곳에서 자세교정 같은 치료를 계속 받았거든요\n교정 치료를 받고 많이 괜찮아 계속 받고 싶은데 이사를 멀리 오는 바람에 그 병원가기 너무 힘들어서...\n이 병원에서도 가능 할런지?\n답변 부탁드립니다.
09c9df265f10407197cd801919bf18d1,"[예약, 진료, 비용 문의], 체외충격파 치료, 팔꿈치",체외충격파 치료 하는가요?,안녕하세요\n다름이 아니라 타지역에서 체외충격파 치료를 받고 있었는데\n부득이 하게 이사를 하게 되어서요\n이병원에서도 체외충격파 치료를 하시는지?\n참고로 팔꿈치를 치료받고 있었습니다.
0a414ef4141847edaee7a2b16e4aae7b,"[증상 및 진단 문의], 두통, 지속적인 두통, 두통 치료, 머리 검사
",두통이 계속 지속되는데 치료 가능한가요?,안녕하세요\n다름이 아니라 제가 계속 두통이 발생하는데 어떻게 해야 할까요?\n약을 먹어도 그날만 좀 참을만 하고 다음날 또 두통에 시달리고 있는데 어디로 가서 어떻게 치료를 해야 할지 모르겠어요\n약을 계속 먹어도 되는지 아니면 머리쪽 검사를 받아 봐야 하는지 모르겠어요?\n두통을 달고 살고 있으니 일상 생활에도 지장이 있고 계속 짜증만 나는것 같네요\n두통 치료도 가능할까요?
0bbab456087f4a4889a61e158764a58b,"[증상 및 진단 문의], 다리 통증, 전기요법, 다리 저림",오른쪽 다리가 찌릿하게 전기가 통하는거 같은 느낌 인데 이것두 치료 가능한가요?,안녕하세요\n어제 부터 다리가 찌릿하게 전기가 오는 느낌이 나는데... 치료 가능할까요\n한번씩 이런 느낌이 나는데 치료를 해야 하나 말아야 하나 ^^;;;;\n통증병원에 가는게 맞는건지...\n답변 부탁드립니다.
0f6d7dc3a5d743fda90c9e7d092046dc,"[생활관리 및 기타 문의], 아이 키, 성장, 성장 예측, 또래보다 작은 키",아이의 키가 걱정 입니다.,"저... 중학교 1학년 여자아이를 키우고 있는 엄마인데요\n저희 아이의 키가 걱정이되서요\n여기서는 어떻게 키를 크게 하나요?\n우리 아이가 키가 얼마나 클지 알수도 있나요?\n또래 보다 작아서 너무 걱정이네요 ㅡ,.ㅡ"
11444d3d33004e959cc54c84b784bad3,"[증상 및 진단 문의], 발바닥 통증, 발가락 통증, 감각 저하, 동상, 침 치료",발바닥 및 발가락 감각이 없어요.ㅠ,2월달때쯤부터 오래 걷고 발이 시려워서 그런줄 알고 놔뒀는데 지금까지 발바닥 윗쪽 중앙부위랑 발가락 두번째 세번째 엄지안쪽부위에마치 동상걸린것 처럼 감각이 무딥니다.\n한의원이가서 2주 동안 침을 맞아도 나아지지 않네요\n혹시 병원에 내원하면 치료 가능한지요?\n어떤치료(검사) 받아야 하고 비용도 궁금합니다.
11c35fbe96e84de1a43a4d5479c0c845,"[생활관리 및 기타 문의], 키, 성장, 성장통증
",키가클수있나요?,우리 아이가 또래에 비해 키가 작은거 같은데 희망이 있을까요?
11f18d9c36934096823ac6f415a9f511,"[치료 및 시술 문의], 허리 통증, 뻐근함, 허리 굽힘, 파스, 한의원, 허리 불편",몇일전부터 허리가 아픈데 치료 가능한가요?,몇일전부터 허리가 뻐근하고 하프더니\n지금은 허리를 굽히는 동작에서 통증이 있습니다.\n파스도 붙여 보고 한의원도 가봤는데 증상이 더 심해지는듯 합니다.\n치료 가능할까요?\n허리가 아프니 아무것도 못하겠네요
